Parcel_ID,O_zone,D_zone,CEP,Network,Type
90986,2465,2668,PostNL,conventional,tour-based
90986,2668,2290,PostNL,conventional,tour-based
90993,2457,2668,PostNL,conventional,tour-based
90993,2668,2290,PostNL,conventional,tour-based
91001,2430,4604,DPD,conventional,tour-based
91001,4604,2290,DPD,conventional,tour-based
91002,891,4604,DPD,conventional,tour-based
91002,4604,2290,DPD,conventional,tour-based
91020,7062,5501,DHL,conventional,tour-based
91020,5501,1044,DHL,conventional,consolidated
91020,1044,2291,DHL,conventional,tour-based
91030,2316,1044,DHL,conventional,tour-based
91030,1044,2291,DHL,conventional,tour-based
91039,4680,5514,GLS,conventional,tour-based
91039,5514,4604,GLS,conventional,consolidated
91039,4604,2291,DPD,conventional,tour-based
91044,2392,4604,DPD,conventional,tour-based
91044,4604,2291,DPD,conventional,tour-based
91066,2324,2668,PostNL,conventional,tour-based
91066,2668,2291,PostNL,conventional,tour-based
91070,2898,2668,PostNL,conventional,tour-based
91070,2668,2291,PostNL,conventional,tour-based
91075,6728,2668,PostNL,conventional,tour-based
91075,2668,2291,PostNL,conventional,tour-based
91089,6076,4178,PostNL,conventional,tour-based
91089,4178,2668,PostNL,conventional,consolidated
91089,2668,2291,PostNL,conventional,tour-based
91104,2294,4604,DPD,conventional,tour-based
91104,4604,2291,DPD,conventional,tour-based
91106,4408,4137,FedEx,conventional,tour-based
91106,4137,4604,FedEx,conventional,consolidated
91106,4604,2291,DPD,conventional,tour-based
91140,4674,2662,DHL,conventional,tour-based
91140,2662,2292,DHL,conventional,tour-based
91144,2609,2662,DHL,conventional,tour-based
91144,2662,2292,DHL,conventional,tour-based
91161,2441,4604,DPD,conventional,tour-based
91161,4604,2292,DPD,conventional,tour-based
91209,2438,2668,PostNL,conventional,tour-based
91209,2668,2292,PostNL,conventional,tour-based
91214,7110,4178,PostNL,conventional,tour-based
91214,4178,2668,PostNL,conventional,consolidated
91214,2668,2292,PostNL,conventional,tour-based
91215,6251,4178,PostNL,conventional,tour-based
91215,4178,2668,PostNL,conventional,consolidated
